codigo,sku,descripcion,nombre_normalizado,categoria_sugerida,marca_sugerida,unidad_sugerida,costo_sin_iva_ars,costo_con_iva_ars,precio_publico_ars,iva_pct_inferido,stock_inicial,stock_minimo,activo,origen_excel_fila
32541,32541,PURIFICADOR EXTENSIBLE SPAR FLEXA ACERO 2MOT 3 VEL SPAR,PURIFICADOR EXTENSIBLE SPAR FLEXA ACERO 2MOT 3 VEL SPAR,Ferretería general,,unidad,,,,,,,true,10098
45850,45850,MASCARA SOLDAR FOTOSENSIBLE - BREMEN,MASCARA SOLDAR FOTOSENSIBLE BREMEN,Ferretería general,Bremen,unidad,,,,,,,true,10231
18545,18545,PILA-AAA ALCALINA - BLISTER X 4U DURACELL****,PILA AAA ALCALINA BLISTER X 4U DURACELL,Construcción,,unidad,,,,,,,true,10250
35474,35474,CORTADORA ELECTRICA MODELO R42SR 3/4 HP HOGARNET,CORTADORA ELECTRICA MODELO R42SR 3/4 HP HOGARNET,Ferretería general,,unidad,,,,,,,true,10269
22520,22520,PILA AA RECARG.PLAT-BLIST.X2U RAYOVAC/DUR,PILA AA RECARG PLAT BLIST X2U RAYOVAC/DUR,Ferretería general,,unidad,,,,,,,true,10286
38319,38319,INGLETADORA PLASTICA,INGLETADORA PLASTICA,Ferretería general,,unidad,,,,,,,true,10422
19063,19063,TALADRO PERCUTOR TM-555 13MM,TALADRO PERCUTOR TM 555 13MM,Herramientas,,unidad,,,,,,,true,10424
36674,36674,ASPIRADORA DE LIQUIDO/POLVO 10 Lts 1200W B&D,ASPIRADORA DE LIQUIDO/POLVO 10 LTS 1200W B D,Ferretería general,,litro,,,,,,,true,10428
38154,38154,HIDROLAVADORA K2 CAR BLACK 1200W 110BAR,HIDROLAVADORA K2 CAR BLACK 1200W 110BAR,Ferretería general,,unidad,,,,,,,true,10432
35595,35595,HIDROLAVADORA FULLCONTROL 1600W 120BAR K3FC,HIDROLAVADORA FULLCONTROL 1600W 120BAR K3FC,Ferretería general,,unidad,,,,,,,true,10440
36453,36453,SIERRA CIRCULAR 1500W CSL1500-8 LUSQTOFF,SIERRA CIRCULAR 1500W CSL1500 8 LUSQTOFF,Herramientas,,unidad,,,,,,,true,10506
36779,36779,INFLADOR MULTIPROPOSITO 12V 160PSI - TOTAL,INFLADOR MULTIPROPOSITO 12V 160PSI TOTAL,Ferretería general,Total,unidad,,,,,,,true,10604
43028,43028,HIDROLAVADORA 1200W TOTAL TGT113026-4 WHE01200M,HIDROLAVADORA 1200W TOTAL TGT113026 4 WHE01200M,Ferretería general,Total,unidad,,,,,,,true,10645
46361,46361,TALADRO PERCUTOR INALAMBRICO 20V 2AH 1500RPM TOTAL,TALADRO PERCUTOR INALAMBRICO 20V 2AH 1500RPM TOTAL,Herramientas,Total,unidad,,,,,,,true,10648
46494,46494,BUSCAPOLO TOTAL THT291408,BUSCAPOLO TOTAL THT291408,Ferretería general,Total,unidad,,,,,,,true,10652
46653,46653,SIERRA CALADORA 400W TOTAL 220V,SIERRA CALADORA 400W TOTAL 220V,Herramientas,Total,unidad,,,,,,,true,10656
